entity,label
中国食用(淀粉)植物,植物分类
中国药用植物,植物分类
中国有毒植物,植物分类
中国饲料(牧草\\蜜源)植物,植物分类
中国纤维植物,植物分类
中国用材树木植物,植物分类
中国绿化观赏植物,植物分类
中国油脂(精油\\树胶\\鞣质)植物,植物分类
