iplantitem1,relation,iplantitem2
白背枫,经济用途,中国药用植物
莸叶醉鱼草,经济用途,中国药用植物
大叶醉鱼草,经济用途,中国药用植物
紫花醉鱼草,经济用途,中国药用植物
醉鱼草,经济用途,中国药用植物
浆果醉鱼草,经济用途,中国药用植物
密蒙花,经济用途,中国药用植物
肉荚云实,经济用途,中国药用植物
喙荚云实,经济用途,中国药用植物
苏木,经济用途,中国药用植物
蔓草虫豆,经济用途,中国药用植物
五彩芋,经济用途,中国药用植物
大喙省藤,经济用途,中国药用植物
鸡爪草,经济用途,中国药用植物
美花草属,经济用途,中国药用植物
太白美花草,经济用途,中国药用植物
紫珠属,经济用途,中国药用植物
木紫珠,经济用途,中国药用植物
紫珠,经济用途,中国药用植物
华紫珠,经济用途,中国药用植物
白棠子树,经济用途,中国药用植物
杜虹花,经济用途,中国药用植物
老鸦糊,经济用途,中国药用植物
枇杷叶紫珠,经济用途,中国药用植物
尖尾枫,经济用途,中国药用植物
大叶紫珠,经济用途,中国药用植物
裸花紫珠,经济用途,中国药用植物
红紫珠,经济用途,中国药用植物
钝齿红紫珠,经济用途,中国药用植物
云南紫珠,经济用途,中国药用植物
丁香茄,经济用途,中国药用植物
红厚壳,经济用途,中国药用植物
薄叶红厚壳,经济用途,中国药用植物
牛角瓜,经济用途,中国药用植物
白花牛角瓜,经济用途,中国药用植物
驴蹄草属,经济用途,中国药用植物
驴蹄草,经济用途,中国药用植物
三角叶驴蹄草,经济用途,中国药用植物
花葶驴蹄草,经济用途,中国药用植物
萼翅藤,经济用途,中国药用植物
打碗花,经济用途,中国药用植物
旋花,经济用途,中国药用植物
山茶属,经济用途,中国药用植物
西南风铃草,经济用途,中国药用植物
金钱豹,经济用途,中国药用植物
长叶轮钟草,经济用途,中国药用植物
凌霄属,经济用途,中国药用植物
凌霄,经济用途,中国药用植物
厚萼凌霄,经济用途,中国药用植物
喜树,经济用途,中国药用植物
[艹/杭]子梢属,经济用途,中国药用植物
马尿藤,经济用途,中国药用植物
西南[艹/杭]子梢,经济用途,中国药用植物
毛[艹/杭]子梢,经济用途,中国药用植物
缅南[艹/杭]子梢,经济用途,中国药用植物
绒毛叶[艹/杭]子梢,经济用途,中国药用植物
小雀花,经济用途,中国药用植物
三棱枝[艹/杭]子梢,经济用途,中国药用植物
橄榄,经济用途,中国药用植物
乌榄,经济用途,中国药用植物
美人蕉,经济用途,中国药用植物
大麻,经济用途,中国药用植物
印度大麻,经济用途,中国药用植物
猪肚木,经济用途,中国药用植物
独行千里,经济用途,中国药用植物
野香橼花,经济用途,中国药用植物
广州山柑,经济用途,中国药用植物
野槟榔,经济用途,中国药用植物
马槟榔,经济用途,中国药用植物
屈头鸡,经济用途,中国药用植物
苦子马槟榔,经济用途,中国药用植物
忍冬科,经济用途,中国药用植物
荠,经济用途,中国药用植物
碎米荠属,经济用途,中国药用植物
弯曲碎米荠,经济用途,中国药用植物
山芥碎米荠,经济用途,中国药用植物
碎米荠,经济用途,中国药用植物
弹裂碎米荠,经济用途,中国药用植物
白花碎米荠,经济用途,中国药用植物
水田碎米荠,经济用途,中国药用植物
大叶碎米荠,经济用途,中国药用植物
多叶碎米荠,经济用途,中国药用植物
裸茎碎米荠,经济用途,中国药用植物
紫花碎米荠,经济用途,中国药用植物
华中碎米荠,经济用途,中国药用植物
荞麦叶大百合,经济用途,中国药用植物
大百合,经济用途,中国药用植物
倒地铃,经济用途,中国药用植物
番木瓜,经济用途,中国药用植物
天名精,经济用途,中国药用植物
烟管头草,经济用途,中国药用植物
金挖耳,经济用途,中国药用植物
高原天名精,经济用途,中国药用植物
大花金挖耳,经济用途,中国药用植物
棉毛尼泊尔天名精,经济用途,中国药用植物
红花,经济用途,中国药用植物
石竹科,经济用途,中国药用植物
兰香草,经济用途,中国药用植物
蒙古莸,经济用途,中国药用植物
单花莸,经济用途,中国药用植物
锥花莸,经济用途,中国药用植物
三花莸,经济用途,中国药用植物
神黄豆,经济用途,中国药用植物
腊肠树,经济用途,中国药用植物
含羞草决明,经济用途,中国药用植物
望江南,经济用途,中国药用植物
槐叶决明,经济用途,中国药用植物
扫帚岩须,经济用途,中国药用植物
无根藤,经济用途,中国药用植物
木麻黄,经济用途,中国药用植物
梓属,经济用途,中国药用植物
楸,经济用途,中国药用植物
灰楸,经济用途,中国药用植物
滇楸,经济用途,中国药用植物
梓,经济用途,中国药用植物
长春花,经济用途,中国药用植物
山石榴,经济用途,中国药用植物
黄花大苞姜,经济用途,中国药用植物
红毛七,经济用途,中国药用植物
葶菊,经济用途,中国药用植物
无茎莛菊,经济用途,中国药用植物
角花乌蔹莓,经济用途,中国药用植物
乌蔹莓,经济用途,中国药用植物
南蛇藤,经济用途,中国药用植物
灯油藤,经济用途,中国药用植物
短梗南蛇藤,经济用途,中国药用植物
青葙属,经济用途,中国药用植物
青葙,经济用途,中国药用植物
鸡冠花,经济用途,中国药用植物
积雪草,经济用途,中国药用植物
石胡荽,经济用途,中国药用植物
西南胡麻草,经济用途,中国药用植物
风箱树,经济用途,中国药用植物
三尖杉科,经济用途,中国药用植物
三尖杉,经济用途,中国药用植物
海南粗榧,经济用途,中国药用植物
贡山三尖杉,经济用途,中国药用植物
西双版纳粗榧,经济用途,中国药用植物
篦子三尖杉,经济用途,中国药用植物
粗榧,经济用途,中国药用植物
毛叶欧李,经济用途,中国药用植物
欧李,经济用途,中国药用植物
郁李,经济用途,中国药用植物
毛樱桃,经济用途,中国药用植物
金鱼藻,经济用途,中国药用植物
粗梗水蕨,经济用途,中国药用植物
水蕨,经济用途,中国药用植物
蓝雪花属,经济用途,中国药用植物
小蓝雪花,经济用途,中国药用植物
岷江蓝雪花,经济用途,中国药用植物
海杧果,经济用途,中国药用植物
紫荆,经济用途,中国药用植物
角果木,经济用途,中国药用植物
金雀马尾参,经济用途,中国药用植物
吊灯花,经济用途,中国药用植物
药蕨,经济用途,中国药用植物
毛叶木瓜,经济用途,中国药用植物
木瓜,经济用途,中国药用植物
皱皮木瓜,经济用途,中国药用植物
微柱麻,经济用途,中国药用植物
地蔷薇,经济用途,中国药用植物
菜头肾,经济用途,中国药用植物
明党参,经济用途,中国药用植物
红紫桂竹香,经济用途,中国药用植物
白屈菜,经济用途,中国药用植物
藜科,经济用途,中国药用植物
藜,经济用途,中国药用植物
土荆芥,经济用途,中国药用植物
刺藜,经济用途,中国药用植物
杂配藜,经济用途,中国药用植物
山蜡梅,经济用途,中国药用植物
蜡梅,经济用途,中国药用植物
唇柱苣苔属,经济用途,中国药用植物
牛耳朵,经济用途,中国药用植物
蚂蝗七,经济用途,中国药用植物
桂林唇柱苣苔,经济用途,中国药用植物
钩序唇柱苣苔,经济用途,中国药用植物
线叶唇柱苣苔,经济用途,中国药用植物
[山/弄]岗唇柱苣苔,经济用途,中国药用植物
红药,经济用途,中国药用植物
药用唇柱苣苔,经济用途,中国药用植物
条叶唇柱苣苔,经济用途,中国药用植物
小叶唇柱苣苔,经济用途,中国药用植物
羽裂唇柱苣苔,经济用途,中国药用植物
刺齿唇柱苣苔,经济用途,中国药用植物
羽裂小花苣苔,经济用途,中国药用植物
心叶小花苣苔,经济用途,中国药用植物
金粟兰科,经济用途,中国药用植物
金粟兰属,经济用途,中国药用植物
丝穗金粟兰,经济用途,中国药用植物
宽叶金粟兰,经济用途,中国药用植物
湖北金粟兰,经济用途,中国药用植物
全缘金粟兰,经济用途,中国药用植物
银线草,经济用途,中国药用植物
多穗金粟兰,经济用途,中国药用植物
及已,经济用途,中国药用植物
四川金粟兰,经济用途,中国药用植物
金粟兰,经济用途,中国药用植物
小花吊兰,经济用途,中国药用植物
南酸枣,经济用途,中国药用植物
鹿角藤,经济用途,中国药用植物
长萼鹿角藤,经济用途,中国药用植物
毛叶藤仲,经济用途,中国药用植物
蝙蝠草,经济用途,中国药用植物
金叶树,经济用途,中国药用植物
长梗金腰,经济用途,中国药用植物
大叶金腰,经济用途,中国药用植物
裸茎金腰,经济用途,中国药用植物
川明参,经济用途,中国药用植物
升麻属,经济用途,中国药用植物
小升麻,经济用途,中国药用植物
兴安升麻,经济用途,中国药用植物
升麻,经济用途,中国药用植物
多小叶升麻,经济用途,中国药用植物
大三叶升麻,经济用途,中国药用植物
南川升麻,经济用途,中国药用植物
单穗升麻,经济用途,中国药用植物
金鸡纳树,经济用途,中国药用植物
正鸡纳树,经济用途,中国药用植物
鸡纳树,经济用途,中国药用植物
毛桂,经济用途,中国药用植物
华南桂,经济用途,中国药用植物
樟,经济用途,中国药用植物
芳樟,经济用途,中国药用植物
肉桂,经济用途,中国药用植物
云南樟,经济用途,中国药用植物
野黄桂,经济用途,中国药用植物
少花桂,经济用途,中国药用植物
黄樟,经济用途,中国药用植物
香桂,经济用途,中国药用植物
柴桂,经济用途,中国药用植物
川桂,经济用途,中国药用植物
锡兰肉桂,经济用途,中国药用植物
灰毛浆果楝,经济用途,中国药用植物
肉苁蓉属,经济用途,中国药用植物
肉苁蓉,经济用途,中国药用植物
管花肉苁蓉,经济用途,中国药用植物
西瓜,经济用途,中国药用植物
酸橙,经济用途,中国药用植物
佛手,经济用途,中国药用植物
浆果苋,经济用途,中国药用植物
白桐树,经济用途,中国药用植物
细叶黄皮,经济用途,中国药用植物
小黄皮,经济用途,中国药用植物
假黄皮,经济用途,中国药用植物
水翁,经济用途,中国药用植物
铁线莲属,经济用途,中国药用植物
芹叶铁线莲,经济用途,中国药用植物
女萎,经济用途,中国药用植物
钝齿铁线莲,经济用途,中国药用植物
粗齿铁线莲,经济用途,中国药用植物
小木通,经济用途,中国药用植物
短尾铁线莲,经济用途,中国药用植物
威灵仙,经济用途,中国药用植物
金毛铁线莲,经济用途,中国药用植物
大花威灵仙,经济用途,中国药用植物
厚叶铁线莲,经济用途,中国药用植物
滑叶藤,经济用途,中国药用植物
丝铁线莲,经济用途,中国药用植物
山木通,经济用途,中国药用植物
铁线莲,经济用途,中国药用植物
粉绿铁线莲,经济用途,中国药用植物
小蓑衣藤,经济用途,中国药用植物
单叶铁线莲,经济用途,中国药用植物
大叶铁线莲,经济用途,中国药用植物
棉团铁线莲,经济用途,中国药用植物
吴兴铁线莲,经济用途,中国药用植物
细木通,经济用途,中国药用植物
朝鲜铁线莲,经济用途,中国药用植物
披针叶铁线莲,经济用途,中国药用植物
锈毛铁线莲,经济用途,中国药用植物
菝葜叶铁线莲,经济用途,中国药用植物
毛柱铁线莲,经济用途,中国药用植物
沙叶铁线莲,经济用途,中国药用植物
绣球藤,经济用途,中国药用植物
钝萼铁线莲,经济用途,中国药用植物
美花铁线莲,经济用途,中国药用植物
五叶铁线莲,经济用途,中国药用植物
长花铁线莲,经济用途,中国药用植物
甘青铁线莲,经济用途,中国药用植物
圆锥铁线莲,经济用途,中国药用植物
辣蓼铁线莲,经济用途,中国药用植物
柱果铁线莲,经济用途,中国药用植物
藤山柳属,经济用途,中国药用植物
白花菜,经济用途,中国药用植物
黄花草,经济用途,中国药用植物
肾茶,经济用途,中国药用植物
臭牡丹,经济用途,中国药用植物
灰毛大青,经济用途,中国药用植物
大青,经济用途,中国药用植物
白花灯笼,经济用途,中国药用植物
长管大青,经济用途,中国药用植物
苦郎树,经济用途,中国药用植物
赪桐,经济用途,中国药用植物
广东大青,经济用途,中国药用植物
尖齿臭茉莉,经济用途,中国药用植物
海通,经济用途,中国药用植物
重瓣臭茉莉,经济用途,中国药用植物
臭茉莉,经济用途,中国药用植物
三对节,经济用途,中国药用植物
三台花,经济用途,中国药用植物
草本三对节,经济用途,中国药用植物
大序三对节,经济用途,中国药用植物
鳄嘴花,经济用途,中国药用植物
寸金草,经济用途,中国药用植物
灯笼草,经济用途,中国药用植物
广东蝶豆,经济用途,中国药用植物
蛇床,经济用途,中国药用植物
岩荠,经济用途,中国药用植物
椰子,经济用途,中国药用植物
舞草,经济用途,中国药用植物
党参属,经济用途,中国药用植物
薏米,经济用途,中国药用植物
野芋,经济用途,中国药用植物
芋,经济用途,中国药用植物
大野芋,经济用途,中国药用植物
火把花,经济用途,中国药用植物
秀丽火把花,经济用途,中国药用植物
秀丽火把花-细花变种,经济用途,中国药用植物
无尾果,经济用途,中国药用植物
绵穗苏,经济用途,中国药用植物
饭包草,经济用途,中国药用植物
鸭跖草,经济用途,中国药用植物
节节草,经济用途,中国药用植物
大苞鸭跖草,经济用途,中国药用植物
菊科,经济用途,中国药用植物
苦苣苔,经济用途,中国药用植物
毒参,经济用途,中国药用植物
牛栓藤科,经济用途,中国药用植物
牛栓藤属,经济用途,中国药用植物
铃兰,经济用途,中国药用植物
旋花科,经济用途,中国药用植物
田旋花,经济用途,中国药用植物
熊胆草,经济用途,中国药用植物
香丝草,经济用途,中国药用植物
小蓬草,经济用途,中国药用植物
白酒草,经济用途,中国药用植物
黄连属,经济用途,中国药用植物
黄连,经济用途,中国药用植物
短萼黄连,经济用途,中国药用植物
三角叶黄连,经济用途,中国药用植物
峨眉黄连,经济用途,中国药用植物
云南黄连,经济用途,中国药用植物
流苏子,经济用途,中国药用植物
珊瑚苣苔,经济用途,中国药用植物
石花,经济用途,中国药用植物
卷丝苣苔,经济用途,中国药用植物
甜麻,经济用途,中国药用植物
破布木,经济用途,中国药用植物
朱蕉,经济用途,中国药用植物
芫荽,经济用途,中国药用植物
马桑,经济用途,中国药用植物
山茱萸科,经济用途,中国药用植物
山茱萸,经济用途,中国药用植物
绣球小冠花,经济用途,中国药用植物
灰绿黄堇,经济用途,中国药用植物
小距紫堇,经济用途,中国药用植物
北越紫堇,经济用途,中国药用植物
金球黄堇,经济用途,中国药用植物
巫溪紫堇,经济用途,中国药用植物
地柏枝,经济用途,中国药用植物
迭裂黄堇,经济用途,中国药用植物
南黄堇,经济用途,中国药用植物
夏天无,经济用途,中国药用植物
密穗黄堇,经济用途,中国药用植物
紫堇,经济用途,中国药用植物
房山紫堇,经济用途,中国药用植物
尼泊尔黄堇,经济用途,中国药用植物
湿生紫堇,经济用途,中国药用植物
土元胡,经济用途,中国药用植物
银瑞,经济用途,中国药用植物
刻叶紫堇,经济用途,中国药用植物
大花帕里紫堇,经济用途,中国药用植物
宽裂黄堇,经济用途,中国药用植物
条裂黄堇,经济用途,中国药用植物
变根紫堇,经济用途,中国药用植物
细叶黄堇,经济用途,中国药用植物
黄紫堇,经济用途,中国药用植物
蛇果黄堇,经济用途,中国药用植物
黄堇,经济用途,中国药用植物
长尖突紫堇,经济用途,中国药用植物
小花黄堇,经济用途,中国药用植物
全叶延胡索,经济用途,中国药用植物
石生黄堇,经济用途,中国药用植物
长距元胡,经济用途,中国药用植物
地锦苗,经济用途,中国药用植物
大叶紫堇,经济用途,中国药用植物
糙果紫堇,经济用途,中国药用植物
黄牛木,经济用途,中国药用植物
红芽木,经济用途,中国药用植物
万丈深,经济用途,中国药用植物
Crinum,经济用途,中国药用植物
文殊兰,经济用途,中国药用植物
雄黄兰,经济用途,中国药用植物
白番红花,经济用途,中国药用植物
番红花,经济用途,中国药用植物
黄精叶钩吻,经济用途,中国药用植物
猪屎豆属,经济用途,中国药用植物
翅托叶猪屎豆,经济用途,中国药用植物
响铃豆,经济用途,中国药用植物
大猪屎豆,经济用途,中国药用植物
假地蓝,经济用途,中国药用植物
菽麻,经济用途,中国药用植物
察隅紫堇,经济用途,中国药用植物
延胡索,经济用途,中国药用植物
蜡瓣花属,经济用途,中国药用植物
贝叶棕,经济用途,中国药用植物
闭鞘姜,经济用途,中国药用植物
光叶闭鞘姜,经济用途,中国药用植物
水栒子,经济用途,中国药用植物
金叶子,经济用途,中国药用植物
云南金叶子,经济用途,中国药用植物
野茼蒿,经济用途,中国药用植物
山楂属,经济用途,中国药用植物
野山楂,经济用途,中国药用植物
山楂,经济用途,中国药用植物
云南山楂,经济用途,中国药用植物
线叶猪屎豆,经济用途,中国药用植物
头花猪屎豆,经济用途,中国药用植物
假苜蓿,经济用途,中国药用植物
三尖叶猪屎豆,经济用途,中国药用植物
吊裙草,经济用途,中国药用植物
野百合,经济用途,中国药用植物
大托叶猪屎豆,经济用途,中国药用植物
多疣猪屎豆,经济用途,中国药用植物
光萼猪屎豆,经济用途,中国药用植物
鸡骨香,经济用途,中国药用植物
巴豆,经济用途,中国药用植物
十字花科,经济用途,中国药用植物
八仙过海,经济用途,中国药用植物
古钩藤,经济用途,中国药用植物
白叶藤,经济用途,中国药用植物
鸭儿芹,经济用途,中国药用植物
狗筋蔓,经济用途,中国药用植物
甜瓜,经济用途,中国药用植物
黄瓜,经济用途,中国药用植物
南瓜,经济用途,中国药用植物
构棘,经济用途,中国药用植物
拓树,经济用途,中国药用植物
孜然芹,经济用途,中国药用植物
仙茅,经济用途,中国药用植物
姜黄属,经济用途,中国药用植物
郁金,经济用途,中国药用植物
广西莪术,经济用途,中国药用植物
姜黄,经济用途,中国药用植物
苏铁,经济用途,中国药用植物
毛叶轮环藤,经济用途,中国药用植物
榅桲属,经济用途,中国药用植物
榅桲,经济用途,中国药用植物
香茅属,经济用途,中国药用植物
柠檬草,经济用途,中国药用植物
曲序香茅,经济用途,中国药用植物
辣薄荷草,经济用途,中国药用植物
亚香茅,经济用途,中国药用植物
紫花合掌消,经济用途,中国药用植物
白薇,经济用途,中国药用植物
牛皮消,经济用途,中国药用植物
白首乌,经济用途,中国药用植物
蔓剪草,经济用途,中国药用植物
刺瓜,经济用途,中国药用植物
二黄,经济用途,中国药用植物
莪术,经济用途,中国药用植物
菟丝子属,经济用途,中国药用植物
南方菟丝子,经济用途,中国药用植物
原野菟丝子,经济用途,中国药用植物
菟丝子,经济用途,中国药用植物
金灯藤,经济用途,中国药用植物
大花菟丝子（原变种）,经济用途,中国药用植物
四孔草,经济用途,中国药用植物
杯苋属,经济用途,中国药用植物
头花杯苋,经济用途,中国药用植物
川牛膝,经济用途,中国药用植物
杯苋,经济用途,中国药用植物
苏铁属,经济用途,中国药用植物
大理白前,经济用途,中国药用植物
白前,经济用途,中国药用植物
竹灵消,经济用途,中国药用植物
毛白前,经济用途,中国药用植物
朱砂藤,经济用途,中国药用植物
青羊参,经济用途,中国药用植物
徐长卿,经济用途,中国药用植物
戟叶鹅绒藤,经济用途,中国药用植物
柳叶白前,经济用途,中国药用植物
变色白前,经济用途,中国药用植物
隔山消,经济用途,中国药用植物
琉璃草属,经济用途,中国药用植物
倒提壶（原变种）,经济用途,中国药用植物
大果琉璃草,经济用途,中国药用植物
红花琉璃草,经济用途,中国药用植物
琉璃草,经济用途,中国药用植物
锁阳,经济用途,中国药用植物
香附子,经济用途,中国药用植物
药囊花属,经济用途,中国药用植物
紫金龙,经济用途,中国药用植物
扭果紫金龙,经济用途,中国药用植物
黄藤属,经济用途,中国药用植物
大丽花,经济用途,中国药用植物
黄檀属,经济用途,中国药用植物
藤黄檀,经济用途,中国药用植物
黄檀,经济用途,中国药用植物
降香,经济用途,中国药用植物
斜叶黄檀,经济用途,中国药用植物
短刺虎刺,经济用途,中国药用植物
虎刺,经济用途,中国药用植物
瑞香属,经济用途,中国药用植物
滇瑞香,经济用途,中国药用植物
芫花,经济用途,中国药用植物
黄瑞香,经济用途,中国药用植物
毛柱瑞香,经济用途,中国药用植物
牛耳枫,经济用途,中国药用植物
野胡萝卜,经济用途,中国药用植物
骨碎补,经济用途,中国药用植物
猫儿屎,经济用途,中国药用植物
翠雀属,经济用途,中国药用植物
白蓝翠雀花,经济用途,中国药用植物
还亮草,经济用途,中国药用植物
大花还亮草,经济用途,中国药用植物
川黔翠雀花,经济用途,中国药用植物
毛梗川黔翠雀花,经济用途,中国药用植物
囊距翠雀花,经济用途,中国药用植物
奇林翠雀花,经济用途,中国药用植物
单花翠雀花,经济用途,中国药用植物
烟台翠雀花,经济用途,中国药用植物
滇川翠雀花,经济用途,中国药用植物
须花翠雀花,经济用途,中国药用植物
密花翠雀花,经济用途,中国药用植物
翠雀,经济用途,中国药用植物
毛梗翠雀花,经济用途,中国药用植物
展毛翠雀花,经济用途,中国药用植物
峨眉翠雀花,经济用途,中国药用植物
大通翠雀花,经济用途,中国药用植物
三果大通翠雀花,经济用途,中国药用植物
毛梗大理翠雀花,经济用途,中国药用植物
云南翠雀花,经济用途,中国药用植物
野菊,经济用途,中国药用植物
头状四照花,经济用途,中国药用植物
黑毛四照花,经济用途,中国药用植物
石斛属,经济用途,中国药用植物
绿竹,经济用途,中国药用植物
火麻树属,经济用途,中国药用植物
假木豆,经济用途,中国药用植物
树参,经济用途,中国药用植物
变叶树参,经济用途,中国药用植物
寄生藤,经济用途,中国药用植物
播娘蒿,经济用途,中国药用植物
山蚂蝗属,经济用途,中国药用植物
紫水晶山蚂蝗,经济用途,中国药用植物
小槐花,经济用途,中国药用植物
假地豆,经济用途,中国药用植物
小叶三点金,经济用途,中国药用植物
饿蚂蝗,经济用途,中国药用植物
广东金钱草,经济用途,中国药用植物
三点金,经济用途,中国药用植物
假鹰爪,经济用途,中国药用植物
芒稃双药芒,经济用途,中国药用植物
山菅,经济用途,中国药用植物
石竹,经济用途,中国药用植物
长苞石竹,经济用途,中国药用植物
兴安石竹,经济用途,中国药用植物
瞿麦,经济用途,中国药用植物
大花荷包牡丹,经济用途,中国药用植物
荷包牡丹,经济用途,中国药用植物
龙眼,经济用途,中国药用植物
钝叶龙眼,经济用途,中国药用植物
薯蓣属,经济用途,中国药用植物
参薯,经济用途,中国药用植物
蜀葵叶薯蓣,经济用途,中国药用植物
黄独,经济用途,中国药用植物
山葛薯,经济用途,中国药用植物
薯莨,经济用途,中国药用植物
三角叶薯蓣,经济用途,中国药用植物
七叶薯蓣,经济用途,中国药用植物
福州薯蓣,经济用途,中国药用植物
光叶薯蓣,经济用途,中国药用植物
纤细薯蓣,经济用途,中国药用植物
白薯莨,经济用途,中国药用植物
人字果属,经济用途,中国药用植物
耳状人字果,经济用途,中国药用植物
基叶人字果,经济用途,中国药用植物
蕨叶人字果,经济用途,中国药用植物
三小叶人字果,经济用途,中国药用植物
马蹄金,经济用途,中国药用植物
常山,经济用途,中国药用植物
鱼眼草,经济用途,中国药用植物
小鱼眼草,经济用途,中国药用植物
代儿茶,经济用途,中国药用植物
狗肝菜,经济用途,中国药用植物
秃疮花,经济用途,中国药用植物
长筒漏斗苣苔,经济用途,中国药用植物
大叶锣,经济用途,中国药用植物
小花五桠果,经济用途,中国药用植物
日本薯蓣,经济用途,中国药用植物
黑珠芽薯蓣,经济用途,中国药用植物
穿龙薯蓣,经济用途,中国药用植物
薯蓣,经济用途,中国药用植物
黄山药,经济用途,中国药用植物
小花盾叶薯蓣,经济用途,中国药用植物
绵萆薢,经济用途,中国药用植物
毛胶薯蓣,经济用途,中国药用植物
山萆薢,经济用途,中国药用植物
盾叶薯蓣,经济用途,中国药用植物
乌柿,经济用途,中国药用植物
粉叶柿,经济用途,中国药用植物
柿,经济用途,中国药用植物
君迁子,经济用途,中国药用植物
海边柿,经济用途,中国药用植物
罗浮柿,经济用途,中国药用植物
油柿,经济用途,中国药用植物
山榄叶柿,经济用途,中国药用植物
南方山荷叶,经济用途,中国药用植物
苍白秤钩风,经济用途,中国药用植物
合柱兰,经济用途,中国药用植物
狗骨柴,经济用途,中国药用植物
川续断科,经济用途,中国药用植物
川续断属,经济用途,中国药用植物
川续断,经济用途,中国药用植物
深紫续断,经济用途,中国药用植物
日本续断,经济用途,中国药用植物
龙脑香科,经济用途,中国药用植物
东京龙脑香,经济用途,中国药用植物
羯布罗香,经济用途,中国药用植物
马兰藤,经济用途,中国药用植物
尖叶眼树莲,经济用途,中国药用植物
眼树莲,经济用途,中国药用植物
万寿竹,经济用途,中国药用植物
宝铎草,经济用途,中国药用植物
羊角天麻,经济用途,中国药用植物
栘[木衣]属,经济用途,中国药用植物
短冠东风菜,经济用途,中国药用植物
东风菜,经济用途,中国药用植物
金凤藤,经济用途,中国药用植物
川木香,经济用途,中国药用植物
喜山葶苈,经济用途,中国药用植物
剑叶龙血树,经济用途,中国药用植物
白花枝子花,经济用途,中国药用植物
全缘叶青兰,经济用途,中国药用植物
甘青青兰,经济用途,中国药用植物
人面子,经济用途,中国药用植物
苦绳,经济用途,中国药用植物
南山藤,经济用途,中国药用植物
锦地罗,经济用途,中国药用植物
盾叶茅膏菜,经济用途,中国药用植物
茅膏菜,经济用途,中国药用植物
圆叶茅膏菜,经济用途,中国药用植物
荷莲豆草,经济用途,中国药用植物
川滇槲蕨,经济用途,中国药用植物
石莲姜槲蕨,经济用途,中国药用植物
槲蕨,经济用途,中国药用植物
粗茎鳞毛蕨,经济用途,中国药用植物
狭顶鳞毛蕨,经济用途,中国药用植物
蛇莓属,经济用途,中国药用植物
皱果蛇莓,经济用途,中国药用植物
蛇莓,经济用途,中国药用植物
小鸡藤,经济用途,中国药用植物
假连翘,经济用途,中国药用植物
云南八角莲,经济用途,中国药用植物
小八角莲,经济用途,中国药用植物
贵州八角莲,经济用途,中国药用植物
六角莲,经济用途,中国药用植物
川八角莲,经济用途,中国药用植物
八角莲,经济用途,中国药用植物
酸叶胶藤,经济用途,中国药用植物
花皮胶藤,经济用途,中国药用植物
鳢肠,经济用途,中国药用植物
结香,经济用途,中国药用植物
凤眼蓝,经济用途,中国药用植物
胡颓子属,经济用途,中国药用植物
沙枣,经济用途,中国药用植物
长叶胡颓子,经济用途,中国药用植物
蔓胡颓子,经济用途,中国药用植物
角花胡颓子,经济用途,中国药用植物
宜昌胡颓子,经济用途,中国药用植物
披针叶胡颓子,经济用途,中国药用植物
翅果油树,经济用途,中国药用植物
木半夏,经济用途,中国药用植物
细枝木半夏,经济用途,中国药用植物
尖果沙枣,经济用途,中国药用植物
胡颓子,经济用途,中国药用植物
星毛羊奶子,经济用途,中国药用植物
牛奶子,经济用途,中国药用植物
樱叶杜英,经济用途,中国药用植物
短齿楼梯草,经济用途,中国药用植物
锐齿楼梯草,经济用途,中国药用植物
宜昌楼梯草,经济用途,中国药用植物
楼梯草,经济用途,中国药用植物
曲毛楼梯草,经济用途,中国药用植物
裂序楼梯草,经济用途,中国药用植物
庐山楼梯草,经济用途,中国药用植物
地胆草,经济用途,中国药用植物
白花地胆草,经济用途,中国药用植物
牛筋草,经济用途,中国药用植物
红葱,经济用途,中国药用植物
四方蒿,经济用途,中国药用植物
东紫苏,经济用途,中国药用植物
香薷,经济用途,中国药用植物
吉龙草,经济用途,中国药用植物
野草香,经济用途,中国药用植物
密花香薷,经济用途,中国药用植物
疏苞变型,经济用途,中国药用植物
野苏子,经济用途,中国药用植物
鸡骨柴-长穗变型,经济用途,中国药用植物
异叶香薷,经济用途,中国药用植物
大黄药,经济用途,中国药用植物
野拔子,经济用途,中国药用植物
川滇香薷,经济用途,中国药用植物
海州香薷,经济用途,中国药用植物
球穗香薷,经济用途,中国药用植物
酸藤子属,经济用途,中国药用植物
酸藤子,经济用途,中国药用植物
草麻黄,经济用途,中国药用植物
柳兰,经济用途,中国药用植物
柳叶菜,经济用途,中国药用植物
沼生柳叶菜,经济用途,中国药用植物
粗毛淫羊藿,经济用途,中国药用植物
淫羊藿,经济用途,中国药用植物
朝鲜淫羊藿,经济用途,中国药用植物
柔毛淫羊藿,经济用途,中国药用植物
三枝九叶草,经济用途,中国药用植物
广防风,经济用途,中国药用植物
麒麟叶,经济用途,中国药用植物
知风草,经济用途,中国药用植物
画眉草,经济用途,中国药用植物
鲫鱼草,经济用途,中国药用植物
长叶酸藤子,经济用途,中国药用植物
当归藤,经济用途,中国药用植物
白花酸藤果,经济用途,中国药用植物
网脉酸藤子,经济用途,中国药用植物
大叶酸藤子,经济用途,中国药用植物
一点红,经济用途,中国药用植物
东北岩高兰,经济用途,中国药用植物
黄杞,经济用途,中国药用植物
血水草,经济用途,中国药用植物
木贼麻黄,经济用途,中国药用植物
中麻黄,经济用途,中国药用植物
丽江麻黄,经济用途,中国药用植物
矮麻黄,经济用途,中国药用植物
