title,relation,value
绿萼凤仙花,功用,消肿
黄精叶钩吻,功用,解毒
金鸡纳树,功用,解热
金锦香,功用,止血
金锦香,功用,止血
金毛铁线莲,功用,利尿
金钱豹,功用,清热
槐,功用,清热解毒
金盏银盘,功用,清热解毒
麻叶豆腐柴,功用,止痛
筋藤,功用,止痛
堇菜,功用,清热解毒
大戟,功用,消肿
九管血,功用,解毒
羊角天麻,功用,止痛
聚花草,功用,消肿
排骨灵,功用,止血
毛花点草,功用,清热解毒
蓬莱葛,功用,祛风
披针骨牌蕨,功用,止血
红毒茴,功用,止痛
枇杷叶紫珠,功用,止血药
韩信草,功用,祛风
韩信草,功用,消肿
苹,功用,清热解毒
苹,功用,消肿
盐蒿,功用,消炎
普通鹿蹄草,功用,止咳
千解草,功用,止痛
草龙,功用,清热解毒
小紫金牛,功用,止血
长花铁线莲,功用,利尿
长裂乌头,功用,止痛
长叶酸藤子,功用,消肿
鹿蹄草,功用,止咳
赤豆,功用,利尿药
栓叶安息香,功用,理气止痛
臭棘豆,功用,解毒
臭棘豆,功用,消肿
臭牡丹,功用,消肿止痛
梓,功用,利尿
梓,功用,利尿剂
小木通,功用,消肿
紫金龙,功用,镇痛
川芎,功用,祛风
川芎,功用,止痛
异形南五味子,功用,止痛
异形南五味子,功用,祛风除湿
毛柱铁线莲,功用,止痛
垂序商陆,功用,催吐
垂序商陆,功用,解热
大叶臭花椒,功用,祛风除湿
大叶臭花椒,功用,消肿止痛
刺瓜,功用,解毒
寸金草,功用,消肿
漆姑虎耳草,功用,清热
奇蒿,功用,止痛
奇蒿,功用,解热
千根草,功用,清热
续随子,功用,利尿
小蜡,功用,清热
香港大沙叶,功用,清热解毒
秋枫,功用,消肿
楸,功用,利尿
球穗千斤拔,功用,止咳
石胡荽,功用,祛风
石胡荽,功用,消肿
大白药,功用,接骨
全缘金粟兰,功用,消肿
人面子,功用,解毒
灰毛大青,功用,止痛
水竹叶,功用,消肿
五叶铁线莲,功用,止痛
倒提壶,功用,消肿
狼毒,功用,止痛
毛茛,功用,消肿
一品红,功用,消肿
老牛筋,功用,清热
铁包金,功用,止咳
秃疮花,功用,镇痛
簕欓花椒,功用,止痛
小叶乌药,功用,消肿止痛
荔枝,功用,止痛剂
圆果算盘子,功用,清热解毒
连翘,功用,清热解毒
凌霄,功用,利尿药
蒌蒿,功用,消炎
六角莲,功用,解毒
鹿藿,功用,祛风
