title,label
在克朗奎斯特系统里为蓼科单独设立一个蓼目,newNode
在APG II系统,newNode
Leea longifolia,newNode
葡萄目,newNode
Rhododendron araiophyllum,newNode
菊超目,newNode
Pyracantha angustifolia,newNode
蒙古山萝卜,newNode
Scabiosa comosa Fisch．ex Roem．et Schult．,newNode
长柱柃、毛窄叶柃、水丝条,newNode
Eurya stenophylla,newNode
杜鹃花目1998年根据基因亲缘关系的APG分类法,newNode
山茶目1981年的克朗奎斯特分类法列出,newNode
Miyamayomena angustifolia,newNode
Camellia fluviatilis,newNode
2003年的APGII分类法将山茶科和厚皮香科共同列入杜鹃花目,newNode
1981年的克朗奎斯特分类法列出山茶目,newNode
山茶亚属、短柱茶组,newNode
Celastrus oblanceifolius,newNode
卫矛目,newNode
Cyclobalanopsis augustinii,newNode
壳斗目,newNode
Elaeagnus angustata,newNode
Phyllagathis stenophylla,newNode
Eriobotrya henryi Nakai,newNode
Galatella angustissima,newNode
Sageretia brandrethiana,newNode
Carex montis-everestii,newNode
薹草亚属、冻原薹草组、黑色薹草亚组,newNode
Photinia stenophylla,newNode
Wikstroemia chuii,newNode
Distylium dunnianum,newNode
Sibiraea angustata,newNode
Spiraea dahurica,newNode
长伞花序组、欧亚系,newNode
Alisma canaliculatum,newNode
Vicia pilosa,newNode
Erianthus stenophyllus,newNode
Altingia angustifolia,newNode
Podocarpus formosensis,newNode
松柏门,newNode
松柏纲,newNode
松柏目,newNode
Castanopsis choboensis,newNode
山毛榉科,newNode
Poa pratensis subsp. stenachyra,newNode
胡特尼－德里斯、那林-黑雅嘎,newNode
Leymus angustus,newNode
Padus velutina,newNode
Opithandra sinohenryi,newNode
Zanthoxylum tomentellum,newNode
岛田鸡儿肠;岛田马兰;毡毛鸡儿肠,newNode
Kalimeris shimadai,newNode
Pyrrosia drakeana,newNode
Rhamnus velutina,newNode
Hydrangea coacta,newNode
Myriactis wightii,newNode
Polygonum viscoferum,newNode
最近的APG II系统,newNode
Cotoneaster pannosus,newNode
Aster velutinosus,newNode
Conyza leucantha,newNode
Myriactis Less.,newNode
Rhynchosia viscosa,newNode
菜豆族、木豆亚族,newNode
Rhododendron glischrum,newNode
Cuphea petiolata,newNode
黏毛黄花棯 薄叶金午时花 黏毛黄花稔 嗽血草 粘毛黄花棯,newNode
Sida mysorensis,newNode
黄花棯属,newNode
毛叶草，黄花参,newNode
Pseudaechmanthera glutinosa,newNode
下巴子(内蒙古固阳)，黄花黄芩(东北植物检索表)，腺毛黄芩(中国药用植物图鉴),newNode
Scutellaria viscidula,newNode
Spiradiclis tomentosa,newNode
Helicteres viscida,newNode
中药狗毛草,newNode
Lindernia viscosa,newNode
水八角族,newNode
Salvia roborowskii Maxim.,newNode
Lonicera fargesii,newNode
五香草(云南丽江、中甸),newNode
Anaphalis bulleyana,newNode
Ixonanthes Jack,newNode
粘木科,newNode
华粘木、山子纣,newNode
Ixonanthes reticulata Jack,newNode
薯蓣目,newNode
Rhododendron viscigemmatum,newNode
Thalictrum viscosum,newNode
毛茛亚目,newNode
Caryopteris glutinosa,newNode
Commicarpus Standl.,newNode
Astragalus dschangartensis,newNode
裂萼亚属、帚状组,newNode
Primula dickieana,newNode
Rhododendron viscidum,newNode
Erigeron patentisquama,newNode
Lindera erythrocarpa MakinlLumbellata Bl,newNode
Juncus thomsonii,newNode
灯芯草目,newNode
灯芯草属,newNode
高山灯心草亚属、贴苞组、贴苞系,newNode
Pteracanthus extensus,newNode
旋转族,newNode
Scutellaria orthotricha,newNode
Primula youngeriana,newNode
Hypericum lancasteri,newNode
山茶目,newNode
Aconitum novoluridum,newNode
Anemone demissa,newNode
Melastoma normale,newNode
Aconitum chasmanthum,newNode
Puccinellia diffusa,newNode
Paraphlomis patentisetulosa,newNode
Hymenachne patens,newNode
黍族、糖蜜草亚族,newNode
2003年APGII分类法将原来分在在莎草目、鸭跖草目中的部分科合并为禾本目,newNode
禾亚科,newNode
全世界3属，中国引种有2属红毛草属、糖蜜草属。,newNode
开展毛蕨,newNode
Cyclosorus evolutus,newNode
Phymatopteris quasidivaricata,newNode
Impatiens extensifolia,newNode
Vernonia extensa,newNode
Lysimachia brittenii,newNode
Anabasis truncata,newNode
Adenophora divaricata,newNode
克朗奎斯特分类法里，桔梗科划归桔梗目，但桔梗目不被APGII系统所承认。,newNode
Lespedeza patens,newNode
Polygonum patulum,newNode
Mussaenda divaricata,newNode
Thalictrum squarrosum,newNode
Aeluropus Trin.,newNode
幼肺三七《天目山药用植物志》,newNode
Swertia,newNode
章柳、山萝卜、见肿消、倒水莲、金七娘、猪母耳、白母鸡,newNode
Phytolacca acinosa Roxb.,newNode
Hepatica Mill,newNode
Hepatica Mill.,newNode
香樟、芳樟、油樟、樟木,newNode
Cinnamomum camphora (L.) presl,newNode
樟目,newNode
大苦草、黑节苦草、黑药黄、走胆草、紫花青叶胆、蓑衣草、双点獐牙菜,newNode
Swertia bimaculata (Sieb. et Zucc.)Hook. Thoms.ex,newNode
香樟子，大木姜子，樟木子，樟扣，樟子，樟太蔻,newNode
Cinnamomum camPhora（L）Presl,newNode
油樟、香樟、香叶子树、雅樟,newNode
Cinnamomum longepaniculatum (Gamble) N. Chao ex H.,newNode
Arisaema zanlanscianense,newNode
Lauraceae,newNode
樟亚科和无根藤亚科,newNode
约45属,newNode
木兰超目,newNode
芥、小荆芥、心叶荆芥等,newNode
Nepeta cataria,newNode
管花目,newNode
马鞭草亚目,newNode
卡丁玛（藏语译音，樟木）,newNode
Fargesia ampullaris,newNode
北美箭竹族、筱竹亚族,newNode
禾本目被认为与灯芯草目有亲缘关系而共同起源于鸭跖草目。,newNode
Begonia picta,newNode
类真蔷薇分支,newNode
蔷薇超目,newNode
Camphorosma monspeliaca,newNode
Camphorosma monspeliaca L.,newNode
Morinda cinnamomifoliata,newNode
Elaeagnus cinnamomifolia,newNode
Sloanea changii,newNode
猴欢喜族,newNode
1981年的克朗奎斯特分类法将杜英科分入锦葵目,newNode
2003年的根据基因亲缘关系分类的APG,newNode
Hibiscus grewiifolius,newNode
Hibiscus grewiifolius Hassk.,newNode
{被子植物,newNode
Meliosma squamulata,newNode
Cocculus laurifolius,newNode
樟叶木防己属,newNode
Cornus oligophlebia,newNode
Sterculia cinnamomifolia,newNode
Sycopsis laurifolia,newNode
Jasminum cinnamomifolium,newNode
木樨科,newNode
Passiflora laurifolia,newNode
Mallotus pallidus,newNode
Vaccinium dunalianum,newNode
越橘属,newNode
Staurochilus Ridl. ex Pfitzer,newNode
Cinnamomum,newNode
Corydalis quantmeyeriana,newNode
Staurochilus dawsonianus,newNode
万代兰族，指甲兰亚族,newNode
天门冬目,newNode
Gelidocalamus latifolius,newNode
Synotis palmatisecta,newNode
香樟、臭樟、果东樟、樟木、樟脑树、樟叶树,newNode
Cinnamomum glanduliferum (Wall.) Nees,newNode
Ranunculus rigescens,newNode
Asplenium subdigitatum,newNode
Ampelopsis aconitifolia var. palmiloba,newNode
Parasenecio palmatisectus,newNode
千里光族SENECIONEAE,newNode
被子植物门ANGIOSPERMAE,newNode
双子叶植物纲DICOTYLEDONEAE,newNode
管状花亚科CARDUOIDEAE,newNode
Pinellia pedatisecta Schott,newNode
Silene asclepiadea,newNode
Primula palmata,newNode
蜈蚣七,newNode
Begonia pedatifida,newNode
二室组、单叶亚组、二室非盾叶系,newNode
具蔓点地梅（西藏植物名录）,newNode
Androsace geraniifolia,newNode
Androsace geraniifolia Watt,newNode
报春花科1981年的克朗奎斯特分类法归为报春花目,newNode
1998年根据基因亲缘关系分类的APG,newNode
完达蜂斗菜,newNode
Petasites tatewakianus,newNode
蜂斗菜属Petasites,newNode
Lygodium longifolium,newNode
Anthurium pedatoradiatum,newNode
Phymatopteris digitata,newNode
Viola dactyloides,newNode
堇菜目,newNode
Nothopanax delavayi,newNode
鸭脚板、平舟木、韩德木,newNode
Handeliodendron bodinieri (Levl.) Rehd.,newNode
双子叶植物纲又称木兰纲。,newNode
Handeliodendron Rehd.,newNode
Dracocephalum palmatoides,newNode
Rubiteucris palmata,newNode
筋骨草族,newNode
Rubiteucris Kudo,newNode
Euaraliopsis,newNode
Adiantum pedatum,newNode
Girardinia palmata Gaud,newNode
Urticaceae,newNode
Colysis digitata,newNode
Derris palmifolia,newNode
Corydalis cheirifolia,newNode
Tectaria subpedata,newNode
