峨眉薹草,分布区域,四川南部、湖南西北部、湖北、陕西
峨眉蹄盖蕨,分布区域,陕西（太白山）、甘肃东南部（文县、康县）、湖北西北部（神农架）、湖南（桑植、石门）、四川（大相岭、都江堰、峨眉山）、重庆（巫溪、城口）和云南北部（大关）
峨眉唐松草,产地,四川峨眉山和洪雅一带
峨眉无柱兰,分布区域,四川、贵州（江口梵净山）、云南（丽江）
峨眉卫矛,分布区域,四川
峨眉卫矛,分布区域,海拔1400米的地区
峨眉无心菜,产地,四川中部
峨眉小檗,分布区域,四川
峨眉悬钩子,产地,四川
峨眉岩白菜,产地,四川（峨眉山、灌县）
峨眉雪胆,分布区域,四川中部
峨眉泽兰,分布区域,四川（峨眉山及天全）
峨眉越桔,产地,广西东北部、四川（峨眉山）、贵州西部、云南东北部
峨眉竹茎兰,产地,四川（峨眉山）
峨眉紫锤草,产地,四川（峨眉山、峨边、屏山、洪溪和雷波）
峨嵋假铁秆草,分布区域,四川峨眉山
峨眉紫菀,分布区域,四川西部（峨眉、荥经、宝兴）
峨屏草,产地,四川（峨眉、屏山、南川）
尾叶紫金牛,产地,四川、贵州、云南、广西、广东（海南岛未发现）
峨山碗蕨,产地,四川（峨山
峨山蛾眉蕨,分布区域,甘肃南部（文县、拉木寺）、湖北西部（长阳）、四川西部（峨眉山、天全、雅安、金川、平武、松潘、宝兴、大相岭、马尔康、屏山、道孚、洪雅、洪雅、理县、盐源、康定）、贵州（赫章）、云南西北部（嵩明、大理、鹤庆、维西、中甸、德钦）及西藏东南部（察隅）
川黔翠雀花,分布区域,贵州、四川南部及西部（北达理县一带）
毛梗川黔翠雀花,产地,贵州
鹅白毛兰,产地,云南东南部和西藏东南部（墨脱）
鹅白毛兰,分布区域,尼泊尔、锡金、印度东北部和缅甸
肃草,产地,甘肃、四川、青海、西藏、陕西、山西、内蒙古等省区
大肃草,产地,甘肃省
莪术,产地,我国台湾、福建、江西、广东、广西、四川、云南等省区
鹅肠菜属,分布区域,欧洲、亚洲、非洲的温带和亚热带地区
鹅肠菜属,分布区域,我国东北、华北、华东、华中、西南、西北等省区
白蔹,产地,辽宁、吉林、河北、山西、陕西、江苏、浙江、江西、河南、湖北、湖南、广东、广西、四川
白蔹,分布区域,日本
柳叶白前,分布区域,甘肃、安徽、江苏、浙江、湖南、江西、福建、广东、广西和贵州等省区
柳叶白前,分布区域,低海拔的山谷湿地、水旁以至半浸在水中
无心菜,产地,全国各地
无心菜,分布区域,温带欧洲、北非、亚洲和北美洲
鹅肠菜,产地,我国南北各省
