entity,relation,value
大黄药,治疗,支气管炎
大黄药,治疗,疟疾
大黄药,治疗,骨折
坡油甘,治疗,肝炎
坡油甘,治疗,疮毒
坡油甘,治疗,咳嗽
坡油甘,治疗,蛇伤
山芝麻,治疗,疮疖
仙茅,治疗,阳萎
仙茅,治疗,遗精
仙茅,治疗,腰膝冷痛
仙茅,治疗,四肢麻木
匍匐忍冬,治疗,风湿
葡萄叶艾麻,治疗,胃痛
蒲公英属,治疗,急性乳腺炎
蒲公英属,治疗,淋巴腺炎
蒲公英属,治疗,急性结膜炎
蒲公英属,治疗,感冒发热
蒲公英属,治疗,急性扁桃体炎
蒲公英属,治疗,急性支气管炎
蒲公英属,治疗,肝炎
蒲公英属,治疗,肿囊炎
蒲公英属,治疗,尿路感染
盐蒿,治疗,慢性气管炎
盐蒿,治疗,支气管哮喘
普通鹿蹄草,治疗,肺病
普通鹿蹄草,治疗,筋骨疼痛
菜头肾,治疗,肾虚
菜头肾,治疗,腰痛
苍白秤钩风,治疗,毒蛇咬伤
石丁香,治疗,营养不良性水肿
石丁香,治疗,跌打损伤
石丁香,治疗,湿疹
石丁香,治疗,肾虚
石丁香,治疗,腰痛
山慈菇,治疗,跌打
山慈菇,治疗,蛇伤
千解草,治疗,跌打损伤
千解草,治疗,风湿关节炎
千解草,治疗,月经不调
千解草,治疗,消化不良
草苁蓉,治疗,肾虚阳萎
草苁蓉,治疗,腰关节冷痛
草苁蓉,治疗,便秘
大叶铁线莲,治疗,风湿关节痛
大叶铁线莲,治疗,结核性溃疡
大叶铁线莲,治疗,瘘管
网脉唐松草,治疗,咳嗽
网脉唐松草,治疗,感冒
草龙,治疗,感冒
草龙,治疗,咽喉肿痛
草龙,治疗,疮疥
线纹香茶菜,治疗,急性黄疽型肝炎
线纹香茶菜,治疗,急性胆囊炎
线纹香茶菜,治疗,咽喉炎
线纹香茶菜,治疗,妇科病
筒冠花,治疗,疮毒
错那蒿,治疗,气管炎
错那蒿,治疗,肺病
绣球藤,治疗,肾炎水肿
绣球藤,治疗,小便涩痛
绣球藤,治疗,月经不调
绣球藤,治疗,脚气湿肿
绣球藤,治疗,乳汁不通
绣球藤,治疗,心火旺
绣球藤,治疗,心烦失眠
绣球藤,治疗,口舌生疮
潺槁木姜子,治疗,腹泻
小紫金牛,治疗,肺结核
小紫金牛,治疗,咯血
小紫金牛,治疗,呕血
小紫金牛,治疗,跌打损伤
长瓣马铃苣苔,治疗,跌打损伤
长柄唐松草,治疗,肝炎
长柄唐松草,治疗,肝肿大
岩风,治疗,感冒
岩风,治疗,咳嗽
岩风,治疗,牙痛
岩风,治疗,关节肿痛
岩风,治疗,跌打损伤
岩风,治疗,风湿筋骨痛
长春花,治疗,白血病
长春花,治疗,淋巴肿瘤
长春花,治疗,肺癌
长春花,治疗,绒毛膜上皮癌
长春花,治疗,血癌
长春花,治疗,子宫癌
长梗过路黄,治疗,疟疾
长梗石柑,治疗,跌打
长果丛菔,治疗,肺病
黄三七,治疗,眼结膜炎
黄三七,治疗,口腔炎
黄三七,治疗,咽炎
黄三七,治疗,肠炎
黄三七,治疗,痢疾
长花铁线莲,治疗,跌打
长花铁线莲,治疗,清寒
长花铁线莲,治疗,通经络
