太白美花草,治疗,小儿肺炎
异色黄芩,治疗,痈毒疔疮
尾囊草,治疗,挫伤青肿
五月茶,治疗,小儿头疮
三叶崖爬藤,治疗,小儿高烧
三枝九叶草,治疗,关节风湿痛
沙棘属,治疗,职业性中毒疾病
山芹,治疗,风湿痺痛
山芹,治疗,痈疮肿痛
石龙芮,治疗,蛇毒
石龙芮,治疗,风寒湿痺
柊叶,治疗,音哑
柊叶,治疗,口腔溃疡
朱唇,治疗,腹痛不适
珠仔树,治疗,眼热症
禺毛茛,治疗,目疾
艳山姜,治疗,呕吐腹泻
羊红膻,治疗,克山病
腰骨藤,治疗,腰骨风湿痛
宜昌胡颓子,治疗,肺虚短气
远志木蓝,治疗,腹部胀痛
细木通,治疗,麻疯
腺粒委陵菜,治疗,血管硬化
香附子,治疗,妇科各症
小露兜,治疗,小肠疝气
莪术,治疗,妇女血瘀经闭
乌头,治疗,肾阳衰弱
乌头,治疗,脾阳衰弱
乌头,治疗,风痰积聚
鸡娃草,治疗,某些癣疾
大籽蒿,治疗,灼伤
重齿当归,治疗,痈疡
重齿当归,治疗,漫肿
木竹子,治疗,各种炎症
阿米芹,治疗,冠状动脉性疾病
阿米芹,治疗,狭心症
阿米芹,治疗,冠状血栓症
阴香,治疗,恶毒大疮飞蛇疮
全缘叶绿绒蒿,治疗,跌打骨折
紫金牛,治疗,慢性气管炎
罗勒,治疗,小儿发热
吊裙草,治疗,风湿麻痹
小叶棘豆,治疗,马鞍伤
剑叶紫金牛,治疗,鹅喉
毛菍,治疗,水泻
毛菍,治疗,刀伤跌打
活血丹,治疗,疮疖痈肿丹毒
绣球防风,治疗,风湿麻木疼痛
绣球防风,治疗,皮疹
绣球防风,治疗,虐疾
绣球防风,治疗,皮疹
绣球防风,治疗,小儿瘦疳攻眼
绣球防风,治疗,眼青盲
绣球防风,治疗,白翳遮睛
绣球防风,治疗,梅毒
绣球防风,治疗,痈疽发背
绣球防风,治疗,癣疥癞
绣球防风,治疗,杨梅结毒
绣球防风,治疗,痈疽发背
绣球防风,治疗,小儿疳疾眼眦
博落回,治疗,蜂螫伤
扣匹,治疗,黄白尿症
败酱,治疗,慢性阑尾炎
石椒草,治疗,寒冷胃气疼痛
海南萝芙木,治疗,恶疮溃疡
番荔枝,治疗,恶疮肿痛
方叶五月茶,治疗,小儿头痛
飞龙掌血,治疗,间神经痛
分叉露兜,治疗,某些炎症
枫香槲寄生,治疗,急性膀胱炎
蜂窠马兜铃,治疗,猪瘟病
天南星,治疗,子宫颈癌
铁轴草,治疗,劳伤水肿
打破碗花花,治疗,小麦叶锈病
打破碗花花,治疗,小麦秆锈病
甘遂,治疗,各种水肿
半枝莲,治疗,各种炎症
半枝莲,治疗,蚊虫咬伤
葛藟葡萄,治疗,关节酸痛
沙枣,治疗,恶疥疮
厚叶雀舌木,治疗,皮肤溃疡
帘子藤,治疗,腰骨酸痛
花南星,治疗,咬伤
滇瑞香,治疗,跌打风湿痛
夏枯草,治疗,止筋骨疼
夏枯草,治疗,手足周身节骨酸疼
马莲鞍,治疗,湿热
榉树,治疗,肿烂恶疮
光叶闭鞘姜,治疗,肝硬化腹水
光叶闭鞘姜,治疗,肌肉肿痛
光叶闭鞘姜,治疗,阴囊肿痛
毛柄短肠蕨,治疗,头晕症
广西莪术,治疗,症瘕
广西莪术,治疗,妇女血瘀经闭
猫头刺,治疗,脓疮
肉桂,治疗,虚寒胃痛
肉桂,治疗,慢性消化不良
肉桂,治疗,受寒经闭
肉桂,治疗,虚寒胃痛
土丁桂,治疗,眼膜炎
铁冬青,治疗,热毒
铁冬青,治疗,阴疮
藿香,治疗,霍乱腹痛
八角莲,治疗,关节酸痛
杜仲藤,治疗,风湿腰骨痛
杜茎山,治疗,皮肤风毒
白花地丁,治疗,节疮痛肿
变色白前,治疗,虚痨热
变色白前,治疗,淋痛
威灵仙,治疗,丝虫病
须花翠雀花,治疗,水泻
白头翁,治疗,小麦锈病
白头翁,治疗,马铃薯晚疫病
白叶莓,治疗,风寒咳喘
白芷,治疗,伤风头痛
白芷,治疗,腰脚酸痛
杭白芷,治疗,前额头痛
杭白芷,治疗,鼻窦炎
杭白芷,治疗,痔漏
赪桐,治疗,心慌心跳
地桃花,治疗,白痢
胡颓子,治疗,肺虚短气
半枫荷,治疗,瘀积肿痛
半枫荷,治疗,产后风瘫
华鼠尾草,治疗,骨痛
包疮叶,治疗,急性黄胆型肝炎
北鱼黄草,治疗,下肢肿痛
北乌头,治疗,棉花立枯病
贝叶棕,治疗,热感冒
背扁黄耆,治疗,遗精早
丹参,治疗,血瘀
丹参,治疗,庙痛
丹参,治疗,神经性衰弱失眠
丹参,治疗,急慢性肝炎
丹参,治疗,肾孟肾炎
丹参,治疗,晚期血吸虫病肝脾肿大
金丝草,治疗,感冒高热
蔽果金腰,治疗,高烧症
遍地金,治疗,久痢赤
碎米桠,治疗,食道癌
碎米桠,治疗,贲门癌
碎米桠,治疗,乳腺癌
土人参,治疗,疔疮疖肿
薄荷,治疗,感冒发热喉痛
薄荷,治疗,目赤痛
薄荷,治疗,皮肤风疹搔痒
南黄堇,治疗,全草抗痉镇痛
楠藤,治疗,疥疮积热
楠藤,治疗,各种炎症
戟叶堇菜,治疗,节疮痛肿
山石榴,治疗,跌打腹痛
牛尾草,治疗,各种毒疮
